,OTST_RFND_SRCH_CRIT_1ADT_1LEG,OTST_RFND_SRCH_CRIT_2ADT_1LEG,OTST_RFND_SRCH_CRIT_2ADT_1CHD_1LEG,OTST_RFND_SRCH_CRIT_1ADT_2LEG,OTST_RFND_TRIP_SPEC_2ADT_2LEG
01. POST Get Offer,,,,,
03. POST Create a Booking,,,,,
04. GET Passenger,,,,,
05. PATCH Passenger,,,,,
06. GET Passenger after Patch Passenger,,,,,
07. GET Booking before Fulfillments,,,,,
08. POST Obtaining Fulfillments from Booking,,,,,
09. GET Booking after Fulfillments,,,,,
10. POST Refund Offer,,,,,
11. GET Refund Offer,,,,,
12. Get Booking before Patch Refund,,,,,
13. PATCH Refund Offer,,,,,
14. GET Booking after Patch Refund,,,,,
15. DEL Refund Offers,,,,,
16. GET Booking after Delete Refund,,,,,
